race_key,race_year,schedule_idx,event,circuit,event_date,driver,team,qualifying_position,qualifying_lap_time_s,race_lap_time_s,finishing_position,position_changes,dnf,dnf_known,status,points,laps_completed,elo_before,elo_delta,elo_final,overtaking_difficulty
2018__00__Australian_Grand_Prix,2018,0,Australian Grand Prix,FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,2018-03-25,ALO,McLaren,11.0,96.7372,93.123603448,5.0,6.0,0,True,Finished,10.0,58.0,1500.0,6.947368421052632,1582.7962691047849,0.6216216216216217
2018__00__Australian_Grand_Prix,2018,0,Australian Grand Prix,FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,2018-03-25,BOT,Mercedes,10.0,99.543916666,93.234862068,8.0,2.0,0,True,Finished,4.0,58.0,1500.0,3.1578947368421044,1402.7114444643748,0.6216216216216217
2018__00__Australian_Grand_Prix,2018,0,Australian Grand Prix,FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,2018-03-25,ERI,Sauber,17.0,96.5665,95.0192,19.0,2.0,1,True,Steering,0.0,5.0,1500.0,-10.736842105263158,1447.9379954513126,0.6216216216216217
2018__00__Australian_Grand_Prix,2018,0,Australian Grand Prix,FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,2018-03-25,GAS,Toro Rosso,20.0,103.418,93.188538461,18.0,2.0,1,True,Engine,0.0,13.0,1500.0,-9.473684210526315,1493.0651886207947,0.6216216216216217
2018__00__Australian_Grand_Prix,2018,0,Australian Grand Prix,FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,2018-03-25,GRO,Haas F1 Team,7.0,94.512833333,91.369916666,16.0,9.0,1,True,Wheel,0.0,24.0,1500.0,-6.947368421052632,1372.4774448225103,0.6216216216216217
2018__00__Australian_Grand_Prix,2018,0,Australian Grand Prix,FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,2018-03-25,HAM,Mercedes,1.0,100.712714285,92.729637931,2.0,1.0,0,True,Finished,18.0,58.0,1500.0,10.736842105263158,1731.7414504808555,0.6216216216216217
2018__00__Australian_Grand_Prix,2018,0,Australian Grand Prix,FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,2018-03-25,HAR,Toro Rosso,16.0,99.911166666,94.662438596,15.0,1.0,0,True,+1 Lap,0.0,57.0,1500.0,-5.684210526315789,1420.9083624764114,0.6216216216216217
2018__00__Australian_Grand_Prix,2018,0,Australian Grand Prix,FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,2018-03-25,HUL,Renault,8.0,99.005090909,93.206103448,7.0,1.0,0,True,Finished,6.0,58.0,1500.0,4.421052631578948,1473.4256661158654,0.6216216216216217
2018__00__Australian_Grand_Prix,2018,0,Australian Grand Prix,FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,2018-03-25,LEC,Sauber,18.0,96.6205,93.949,13.0,5.0,0,True,Finished,0.0,58.0,1500.0,-3.1578947368421058,1743.365062543544,0.6216216216216217
2018__00__Australian_Grand_Prix,2018,0,Australian Grand Prix,FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,2018-03-25,MAG,Haas F1 Team,6.0,94.197166666,91.430318181,17.0,11.0,1,True,Wheel,0.0,22.0,1500.0,-8.210526315789474,1394.7481985018023,0.6216216216216217
2018__00__Australian_Grand_Prix,2018,0,Australian Grand Prix,FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,2018-03-25,OCO,Force India,15.0,94.854416666,93.682086206,12.0,3.0,0,True,Finished,0.0,58.0,1500.0,-1.8947368421052637,1470.9374277709815,0.6216216216216217
2018__00__Australian_Grand_Prix,2018,0,Australian Grand Prix,FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,2018-03-25,PER,Force India,13.0,95.5662,93.45,11.0,2.0,0,True,Finished,0.0,58.0,1500.0,-0.6315789473684217,1629.2414502283532,0.6216216216216217
2018__00__Australian_Grand_Prix,2018,0,Australian Grand Prix,FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,2018-03-25,RAI,Ferrari,2.0,94.466454545,92.751586206,3.0,1.0,0,True,Finished,15.0,58.0,1500.0,9.473684210526315,1449.7035452092396,0.6216216216216217
2018__00__Australian_Grand_Prix,2018,0,Australian Grand Prix,FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,2018-03-25,RIC,Red Bull Racing,5.0,100.2775,92.764689655,4.0,1.0,0,True,Finished,12.0,58.0,1500.0,8.210526315789473,1470.909747997035,0.6216216216216217
2018__00__Australian_Grand_Prix,2018,0,Australian Grand Prix,FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,2018-03-25,SAI,Renault,9.0,98.635090909,93.431120689,10.0,1.0,0,True,Finished,1.0,58.0,1500.0,0.6315789473684204,1700.5906060556727,0.6216216216216217
2018__00__Australian_Grand_Prix,2018,0,Australian Grand Prix,FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,2018-03-25,SIR,Williams,19.0,101.111833333,96.53675,20.0,1.0,1,True,Brakes,0.0,4.0,1500.0,-12.0,1407.2213104370728,0.6216216216216217
2018__00__Australian_Grand_Prix,2018,0,Australian Grand Prix,FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,2018-03-25,STR,Williams,14.0,98.978333333,93.992603448,14.0,0.0,0,True,Finished,0.0,58.0,1500.0,-4.421052631578948,1462.8307342880876,0.6216216216216217
2018__00__Australian_Grand_Prix,2018,0,Australian Grand Prix,FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,2018-03-25,VAN,McLaren,12.0,94.3501,93.244896551,9.0,3.0,0,True,Finished,2.0,58.0,1500.0,1.8947368421052637,1453.1409090180623,0.6216216216216217
2018__00__Australian_Grand_Prix,2018,0,Australian Grand Prix,FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,2018-03-25,VER,Red Bull Racing,4.0,99.779666666,93.141862068,6.0,2.0,0,True,Finished,8.0,58.0,1500.0,5.6842105263157885,1879.4505913786095,0.6216216216216217
2018__00__Australian_Grand_Prix,2018,0,Australian Grand Prix,FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,2018-03-25,VET,Ferrari,3.0,97.642642857,92.642810344,1.0,2.0,0,True,Finished,25.0,58.0,1500.0,12.0,1516.055076169242,0.6216216216216217
2018__01__Bahrain_Grand_Prix,2018,1,Bahrain Grand Prix,FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,2018-04-08,ALO,McLaren,13.0,105.4675,98.634821428,7.0,6.0,0,True,+1 Lap,6.0,56.0,1506.9473684210527,4.168614441931209,1582.7962691047849,0.3648648648648649
2018__01__Bahrain_Grand_Prix,2018,1,Bahrain Grand Prix,FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,2018-04-08,BOT,Mercedes,3.0,104.583,96.902017857,2.0,1.0,0,True,Finished,18.0,57.0,1503.157894736842,10.622085356727611,1402.7114444643748,0.3648648648648649
2018__01__Bahrain_Grand_Prix,2018,1,Bahrain Grand Prix,FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,2018-04-08,ERI,Sauber,17.0,99.6228,98.884928571,9.0,8.0,0,True,+1 Lap,2.0,56.0,1489.2631578947369,2.2847965194203224,1447.9379954513126,0.3648648648648649
2018__01__Bahrain_Grand_Prix,2018,1,Bahrain Grand Prix,FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,2018-04-08,GAS,Toro Rosso,6.0,104.80075,97.983232142,4.0,2.0,0,True,Finished,12.0,57.0,1490.5263157894738,8.5547208412986,1493.0651886207947,0.3648648648648649
2018__01__Bahrain_Grand_Prix,2018,1,Bahrain Grand Prix,FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,2018-04-08,GRO,Haas F1 Team,16.0,110.7134,99.268678571,13.0,3.0,0,True,+1 Lap,0.0,56.0,1493.0526315789473,-2.9054565471943654,1372.4774448225103,0.3648648648648649
2018__01__Bahrain_Grand_Prix,2018,1,Bahrain Grand Prix,FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,2018-04-08,HAM,Mercedes,4.0,105.3649,97.010464285,3.0,1.0,0,True,Finished,15.0,57.0,1510.7368421052631,9.083624533211259,1731.7414504808555,0.3648648648648649
2018__01__Bahrain_Grand_Prix,2018,1,Bahrain Grand Prix,FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,2018-04-08,HAR,Toro Rosso,11.0,100.387111111,99.133875,17.0,6.0,0,True,+1 Lap,0.0,56.0,1494.3157894736842,-8.003976891818121,1420.9083624764114,0.3648648648648649
2018__01__Bahrain_Grand_Prix,2018,1,Bahrain Grand Prix,FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,2018-04-08,HUL,Renault,8.0,103.2543,98.613403508,6.0,2.0,0,True,Finished,8.0,57.0,1504.421052631579,5.523555319675921,1473.4256661158654,0.3648648648648649
2018__01__Bahrain_Grand_Prix,2018,1,Bahrain Grand Prix,FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,2018-04-08,LEC,Sauber,19.0,100.4645,99.206696428,12.0,7.0,0,True,+1 Lap,0.0,56.0,1496.842105263158,-1.779980093569717,1743.365062543544,0.3648648648648649
2018__01__Bahrain_Grand_Prix,2018,1,Bahrain Grand Prix,FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,2018-04-08,MAG,Haas F1 Team,7.0,103.289090909,98.192736842,5.0,2.0,0,True,Finished,10.0,57.0,1491.7894736842106,7.245688714414469,1394.7481985018023,0.3648648648648649
2018__01__Bahrain_Grand_Prix,2018,1,Bahrain Grand Prix,FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,2018-04-08,OCO,Force India,9.0,101.9956,98.994375,10.0,1.0,0,True,+1 Lap,1.0,56.0,1498.1052631578948,0.7004342083565183,1470.9374277709815,0.3648648648648649
2018__01__Bahrain_Grand_Prix,2018,1,Bahrain Grand Prix,FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,2018-04-08,PER,Force India,12.0,101.287142857,99.133392857,16.0,4.0,0,True,+1 Lap,0.0,56.0,1499.3684210526317,-6.924416465405747,1629.2414502283532,0.3648648648648649
2018__01__Bahrain_Grand_Prix,2018,1,Bahrain Grand Prix,FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,2018-04-08,RAI,Ferrari,2.0,98.852,98.163647058,18.0,16.0,1,True,Wheel,0.0,35.0,1509.4736842105262,-9.817878736035446,1449.7035452092396,0.3648648648648649
2018__01__Bahrain_Grand_Prix,2018,1,Bahrain Grand Prix,FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,2018-04-08,RIC,Red Bull Racing,5.0,99.407142857,98.684,20.0,15.0,1,True,Electrical,0.0,1.0,1508.2105263157894,-12.29832029336184,1470.909747997035,0.3648648648648649
2018__01__Bahrain_Grand_Prix,2018,1,Bahrain Grand Prix,FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,2018-04-08,SAI,Renault,10.0,104.507,99.112589285,11.0,1.0,0,True,+1 Lap,0.0,56.0,1500.6315789473683,-0.6545309030153033,1700.5906060556727,0.3648648648648649
2018__01__Bahrain_Grand_Prix,2018,1,Bahrain Grand Prix,FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,2018-04-08,SIR,Williams,18.0,103.3995,99.637053571,15.0,3.0,0,True,+1 Lap,0.0,56.0,1488.0,-5.248295985353483,1407.2213104370728,0.3648648648648649
2018__01__Bahrain_Grand_Prix,2018,1,Bahrain Grand Prix,FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,2018-04-08,STR,Williams,20.0,106.730833333,99.152690909,14.0,6.0,0,True,+1 Lap,0.0,56.0,1495.578947368421,-4.260397424939082,1462.8307342880876,0.3648648648648649
2018__01__Bahrain_Grand_Prix,2018,1,Bahrain Grand Prix,FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,2018-04-08,VAN,McLaren,14.0,103.814625,98.805875,8.0,6.0,0,True,+1 Lap,4.0,56.0,1501.8947368421052,3.089039475854009,1453.1409090180623,0.3648648648648649
2018__01__Bahrain_Grand_Prix,2018,1,Bahrain Grand Prix,FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,2018-04-08,VER,Red Bull Racing,15.0,109.617,115.883,19.0,4.0,1,True,Puncture,0.0,3.0,1505.6842105263158,-10.943391529234507,1879.4505913786095,0.3648648648648649
2018__01__Bahrain_Grand_Prix,2018,1,Bahrain Grand Prix,FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,2018-04-08,VET,Ferrari,1.0,105.806625,96.888589285,1.0,0.0,0,True,Finished,25.0,57.0,1512.0,11.564085459037692,1516.055076169242,0.3648648648648649
2018__02__Chinese_Grand_Prix,2018,2,Chinese Grand Prix,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,2018-04-15,ALO,McLaren,13.0,110.102142857,102.982482142,7.0,6.0,0,True,Finished,6.0,56.0,1511.1159828629839,4.017349151581744,1582.7962691047849,0.6621621621621622
2018__02__Chinese_Grand_Prix,2018,2,Chinese Grand Prix,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,2018-04-15,BOT,Mercedes,3.0,102.560785714,100.447092592,2.0,1.0,0,True,Finished,18.0,56.0,1513.7799800935697,10.236498969213827,1402.7114444643748,0.6621621621621622
2018__02__Chinese_Grand_Prix,2018,2,Chinese Grand Prix,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,2018-04-15,ERI,Sauber,20.0,105.292333333,101.607185185,16.0,4.0,0,True,Finished,0.0,56.0,1491.5479544141572,-6.6405025688440995,1447.9379954513126,0.6621621621621622
2018__02__Chinese_Grand_Prix,2018,2,Chinese Grand Prix,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,2018-04-15,GAS,Toro Rosso,17.0,106.925666666,102.361290909,18.0,1.0,0,True,Finished,0.0,56.0,1499.0810366307724,-9.440381486560813,1493.0651886207947,0.6621621621621622
2018__02__Chinese_Grand_Prix,2018,2,Chinese Grand Prix,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,2018-04-15,GRO,Haas F1 Team,10.0,107.590692307,103.601357142,17.0,7.0,0,True,Finished,0.0,56.0,1490.147175031753,-7.852815317942424,1372.4774448225103,0.6621621621621622
2018__02__Chinese_Grand_Prix,2018,2,Chinese Grand Prix,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,2018-04-15,HAM,Mercedes,4.0,102.432,100.73324074,4.0,0.0,0,True,Finished,12.0,56.0,1519.8204666384743,7.491292075560806,1731.7414504808555,0.6621621621621622
2018__02__Chinese_Grand_Prix,2018,2,Chinese Grand Prix,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,2018-04-15,HAR,Toro Rosso,15.0,104.8993,102.23510204,20.0,5.0,1,True,Collision damage,0.0,51.0,1486.311812581866,-11.503138090629626,1420.9083624764114,0.6621621621621622
2018__02__Chinese_Grand_Prix,2018,2,Chinese Grand Prix,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,2018-04-15,HUL,Renault,7.0,106.8627,101.929618181,6.0,1.0,0,True,Finished,8.0,56.0,1509.944607951255,5.323015703267165,1473.4256661158654,0.6621621621621622
2018__02__Chinese_Grand_Prix,2018,2,Chinese Grand Prix,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,2018-04-15,LEC,Sauber,19.0,109.271333333,101.879703703,19.0,0.0,0,True,Finished,0.0,56.0,1495.0621251695882,-10.557572841964447,1743.365062543544,0.6621621621621622
2018__02__Chinese_Grand_Prix,2018,2,Chinese Grand Prix,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,2018-04-15,MAG,Haas F1 Team,11.0,104.694333333,103.142392857,10.0,1.0,0,True,Finished,1.0,56.0,1499.035162398625,0.6665479436251731,1394.7481985018023,0.6621621621621622
2018__02__Chinese_Grand_Prix,2018,2,Chinese Grand Prix,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,2018-04-15,OCO,Force India,12.0,106.369833333,103.221964285,11.0,1.0,0,True,Finished,0.0,56.0,1498.8056973662513,-0.5882751992836432,1470.9374277709815,0.6621621621621622
2018__02__Chinese_Grand_Prix,2018,2,Chinese Grand Prix,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,2018-04-15,PER,Force India,8.0,105.68475,103.234017857,12.0,4.0,0,True,Finished,0.0,56.0,1492.444004587226,-1.620400912819183,1629.2414502283532,0.6621621621621622
2018__02__Chinese_Grand_Prix,2018,2,Chinese Grand Prix,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,2018-04-15,RAI,Ferrari,2.0,104.536727272,101.617,3.0,1.0,0,True,Finished,15.0,56.0,1499.6558054744908,9.486109745736114,1449.7035452092396,0.6621621621621622
2018__02__Chinese_Grand_Prix,2018,2,Chinese Grand Prix,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,2018-04-15,RIC,Red Bull Racing,6.0,107.34925,100.498296296,1.0,5.0,0,True,Finished,25.0,56.0,1495.9122060224274,12.14839706772704,1470.909747997035,0.6621621621621622
2018__02__Chinese_Grand_Prix,2018,2,Chinese Grand Prix,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,2018-04-15,SAI,Renault,9.0,107.424666666,102.203,9.0,0.0,0,True,Finished,2.0,56.0,1499.977048044353,1.8954939253730796,1700.5906060556727,0.6621621621621622
2018__02__Chinese_Grand_Prix,2018,2,Chinese Grand Prix,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,2018-04-15,SIR,Williams,16.0,108.08175,103.475375,15.0,1.0,0,True,Finished,0.0,56.0,1482.7517040146465,-5.058291326725016,1407.2213104370728,0.6621621621621622
2018__02__Chinese_Grand_Prix,2018,2,Chinese Grand Prix,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,2018-04-15,STR,Williams,18.0,107.78425,103.42625,14.0,4.0,0,True,Finished,0.0,56.0,1491.318549943482,-4.105859188274403,1462.8307342880876,0.6621621621621622
2018__02__Chinese_Grand_Prix,2018,2,Chinese Grand Prix,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,2018-04-15,VAN,McLaren,14.0,106.012,103.317017857,13.0,1.0,0,True,Finished,0.0,56.0,1504.9837763179592,-3.3389840066554233,1453.1409090180623,0.6621621621621622
2018__02__Chinese_Grand_Prix,2018,2,Chinese Grand Prix,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,2018-04-15,VER,Red Bull Racing,5.0,102.6115,100.549407407,5.0,0.0,0,True,Finished,10.0,56.0,1494.7408189970813,7.138305951832262,1879.4505913786095,0.6621621621621622
2018__02__Chinese_Grand_Prix,2018,2,Chinese Grand Prix,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,2018-04-15,VET,Ferrari,1.0,105.905333333,100.964703703,8.0,7.0,0,True,Finished,4.0,56.0,1523.5640854590376,2.3032104057818703,1516.055076169242,0.6621621621621622
2018__03__Azerbaijan_Grand_Prix,2018,3,Azerbaijan Grand Prix,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,2018-04-29,ALO,McLaren,13.0,113.462166666,112.774536585,7.0,6.0,0,True,Finished,6.0,51.0,1515.1333320145657,3.8722311713578454,1582.7962691047849,0.09459459459459463
2018__03__Azerbaijan_Grand_Prix,2018,3,Azerbaijan Grand Prix,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,2018-04-29,BOT,Mercedes,3.0,115.898,108.561378378,14.0,11.0,1,True,Puncture,0.0,48.0,1524.0164790627837,-5.291150593167837,1402.7114444643748,0.09459459459459463
2018__03__Azerbaijan_Grand_Prix,2018,3,Azerbaijan Grand Prix,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,2018-04-29,ERI,Sauber,18.0,123.124111111,118.326760869,11.0,7.0,0,True,Finished,0.0,51.0,1484.907451845313,-0.08439422089462578,1447.9379954513126,0.09459459459459463
